Undergrade CGPA,IELTS/TOEFL,GRE,Conference Paper,Journal Paper,University Class
3.99,109,337,1,0,A
3.99,109,337,1,0,H
3.99,109,337,1,0,E
3.43,102,309,1,0,C
3.63,88,301,0,0,C
3.63,88,301,0,0,H
3.63,88,301,0,0,H
3.6,101,308,0,0,G
3.9,99,310,0,0,I
3.9,99,310,0,0,H
3.9,99,310,0,0,H
3.27,91,0,2,4,H
3.27,91,0,2,4,I
3.27,91,0,2,4,G
3.27,91,0,2,4,H
3.27,91,0,2,4,I
3.52,109,0,0,0,H
3.67,96,301,2,1,G
3.36,101,0,0,0,I
3.62,108,320,1,0,D
3.2,93,303,0,0,H
3.2,93,303,0,0,I
3.2,93,303,0,0,G
3.2,93,303,0,0,G
3.42,0,0,1,0,I
3.3,109,305,0,0,C
3.15,113,316,1,0,G
3.15,113,316,1,0,C
3.15,113,316,1,0,G
3.15,113,316,1,0,I
3.15,113,316,1,0,D
3.5,101,0,1,0,E
3.5,101,0,1,0,H
3.5,101,0,1,0,C
3.5,101,0,1,0,A
3.5,101,0,1,0,B
3.5,101,0,1,0,E
3.57,92,296,0,0,D
3.57,92,296,0,0,G
3.57,92,296,0,0,H
3.57,92,296,0,0,I
3.57,92,296,0,0,G
3.49,109,307,1,0,E
3.49,109,307,1,0,I
3.49,109,307,1,0,G
3.49,109,307,1,0,I
3.49,109,307,1,0,G
3.65,96,314,1,1,E
3.65,96,314,1,1,G
3.65,96,314,1,1,I
3.65,101,317,0,0,I
3.65,101,317,0,0,I
3.65,101,317,0,0,H
3.31,100,313,0,0,C
3.31,100,313,0,0,I
3.29,90,315,2,3,I
3.29,90,315,2,3,H
3.29,90,315,2,3,I
3.52,98,306,1,1,I
3.52,98,306,1,1,I
3.52,98,306,1,1,E
3.52,98,306,1,1,I
3.6,101,324,0,0,H
3.39,97,305,0,0,G
3.39,97,305,0,0,I
3.39,97,305,0,0,G
3.42,96,310,0,0,D
3.42,96,310,0,0,I
3.42,96,310,0,0,H
3.42,96,310,0,0,I
3.29,108,319,1,0,G
3.29,108,319,1,0,H
3.29,108,319,1,0,E
3.29,108,319,1,0,E
3.29,108,319,1,0,D
3.06,99,331,0,0,G
3.06,99,331,0,0,G
3.06,99,331,0,0,G
3.06,99,331,0,0,I
3.06,99,331,0,0,H
3.06,99,331,0,0,E
3.62,101,313,6,0,H
3.85,93,310,0,1,H
3.45,104,308,2,0,G
3.45,104,308,2,0,C
3.45,104,308,2,0,I
3.45,104,308,2,0,G
3.11,86,318,0,0,B
3.11,86,318,0,0,H
3.11,86,318,0,0,B
3.11,86,318,0,0,H
3.15,113,316,2,3,I
3.15,113,316,2,3,I
3.15,113,316,2,3,G
3.15,113,316,2,3,H
3.15,113,316,2,3,H
3.61,105,304,7,3,H
3.61,105,304,7,3,H
3.61,105,304,7,3,I
3.61,105,304,7,3,G
3.61,105,304,7,3,I
3.61,105,304,7,3,D
3.61,105,304,7,3,G
3.61,105,304,7,3,G
3.61,105,304,7,3,G
3.83,112,327,1,0,I
3.41,104,315,1,0,I
2.98,101,305,6,3,C
3.84,103,320,3,0,B
3.84,103,320,3,0,I
3.65,100,314,1,0,D
3.65,100,314,1,0,I
3.65,100,314,1,0,D
3.65,100,314,1,0,F
3.65,100,314,1,0,E
3.74,105,215,3,4,H
3.74,105,215,3,4,H
3.64,113,310,1,0,F
3.64,113,310,1,0,D
3.64,113,310,1,0,H
3.81,113,318,1,2,C
3.71,87,315,0,0,B
3.46,88,312,2,1,D
3.81,109,322,2,1,H
3.81,109,322,2,1,F
3.81,109,322,2,1,C
3.08,107,319,0,0,E
3.95,101,312,0,1,A
3.95,101,312,0,1,H
3.58,117,325,0,0,I
3.58,117,325,0,0,I
3.58,117,325,0,0,E
3.82,96,315,0,0,E
3.82,96,315,0,0,F
3.29,90,315,2,3,F
3.29,90,315,2,3,I
3.59,103,317,4,0,H
3.59,103,317,4,0,I
3.59,103,317,4,0,F
3.85,90,315,1,0,H
3.13,94,308,1,0,F
3.13,94,308,1,0,G
3.13,94,308,1,0,G
3.6,84,314,5,1,B
3.6,84,314,5,1,I
3.93,108,320,0,0,F
3.5,113,314,0,0,G
3.81,82,317,2,0,A
3.4,103,330,2,0,A
3.87,109,298,0,0,G
3.59,103,0,0,1,H
3.59,103,0,0,1,B
3.57,93,306,4,1,F
3.57,93,306,4,1,H
3.14,105,307,8,0,I
3.14,105,307,8,0,H
3.14,105,307,8,0,E
3.14,105,307,8,0,D
3.14,105,307,8,0,H
3.9,100,315,1,0,H
3.81,113,318,1,2,H
3.71,87,315,0,0,G
