,Undergrade CGPA,TOEFL,GRE/GMAT,Conference Paper,Journal Paper,Job Experience(Years),Class_A,Class_B,Class_C,Class_D
38,0.35353535353535337,0.2820512820512824,0.9404761904761905,0.0,0.0,0.016,0,0,1,0
39,0.17171717171717127,0.1538461538461542,0.9434523809523809,0.0,0.0,0.16,0,0,1,0
40,0.17171717171717127,0.1538461538461542,0.9434523809523809,0.0,0.0,0.16,0,0,1,0
41,0.17171717171717127,0.1538461538461542,0.9434523809523809,0.0,0.0,0.16,0,0,0,1
42,0.4848484848484844,0.6923076923076925,0.9761904761904762,0.0,0.0,0.0,0,1,0,0
43,0.4848484848484844,0.6923076923076925,0.9761904761904762,0.0,0.0,0.0,0,1,0,0
44,0.4848484848484844,0.6923076923076925,0.9761904761904762,0.0,0.0,0.0,0,1,0,0
45,0.4848484848484844,0.6923076923076925,0.9761904761904762,0.0,0.0,0.0,0,1,0,0
46,0.8383838383838382,1.0,0.9494047619047619,0.0,0.0,0.16,1,0,0,0
47,0.8383838383838382,1.0,0.9494047619047619,0.0,0.0,0.16,1,0,0,0
48,0.8383838383838382,1.0,0.9494047619047619,0.0,0.0,0.16,1,0,0,0
49,0.8383838383838382,1.0,0.9494047619047619,0.0,0.0,0.16,1,0,0,0
50,0.8383838383838382,1.0,0.9494047619047619,0.0,0.0,0.16,0,1,0,0
51,0.8383838383838382,1.0,0.9494047619047619,0.0,0.0,0.16,1,0,0,0
52,0.8888888888888884,0.5641025641025643,0.9523809523809523,0.25,0.0,0.004,0,1,0,0
53,0.8888888888888884,0.5641025641025643,0.9523809523809523,0.25,0.0,0.004,0,1,0,0
54,0.6969696969696968,0.4871794871794872,0.9345238095238094,0.08333333333333333,0.0,0.04,0,1,0,0
55,0.6969696969696968,0.384615384615385,0.925595238095238,0.08333333333333333,0.0,0.14,1,0,0,0
56,0.6969696969696968,0.384615384615385,0.925595238095238,0.08333333333333333,0.0,0.14,0,1,0,0
57,0.7878787878787876,0.6153846153846154,0.6398809523809523,0.25,0.6666666666666666,0.08,1,0,0,0
58,0.9595959595959593,0.35897435897435903,0.931547619047619,0.16666666666666666,0.0,0.024,1,0,0,0
59,0.7878787878787876,0.6153846153846154,0.9464285714285714,0.08333333333333333,0.0,0.06,0,1,0,0
60,0.7878787878787876,0.6153846153846154,0.9464285714285714,0.08333333333333333,0.0,0.06,0,0,1,0
61,0.4444444444444442,0.7179487179487181,0.9404761904761905,0.0,0.0,0.12,0,0,1,0
62,0.4444444444444442,0.7179487179487181,0.9404761904761905,0.0,0.0,0.12,0,1,0,0
63,0.8787878787878785,1.0,1.0,0.08333333333333333,0.3333333333333333,0.08,1,0,0,0
64,0.8383838383838382,0.5128205128205132,0.9136904761904762,0.16666666666666666,0.0,0.12400000000000001,0,0,0,1
65,0.939393939393939,0.7692307692307696,0.9910714285714285,1.0,0.0,0.08,1,0,0,0
66,0.939393939393939,0.7692307692307696,0.9910714285714285,1.0,0.0,0.08,0,1,0,0
67,0.8989898989898988,0.7692307692307696,0.9732142857142857,0.08333333333333333,0.0,0.04,1,0,0,0
68,0.2727272727272725,0.8717948717948718,0.9642857142857142,0.3333333333333333,0.16666666666666666,0.06,1,0,0,0
69,0.202020202020202,0.7948717948717952,0.9642857142857142,0.0,0.0,0.0,0,1,0,0
70,0.202020202020202,0.7948717948717952,0.9642857142857142,0.0,0.0,0.0,0,0,1,0
71,0.202020202020202,0.7948717948717952,0.9642857142857142,0.0,0.0,0.0,0,1,0,0
72,0.202020202020202,0.7948717948717952,0.9642857142857142,0.0,0.0,0.0,0,1,0,0
73,0.202020202020202,0.7948717948717952,0.9642857142857142,0.0,0.0,0.0,0,1,0,0
74,0.202020202020202,0.7948717948717952,0.9642857142857142,0.0,0.0,0.0,0,0,1,0
75,0.5656565656565653,0.4615384615384617,0.9613095238095237,0.0,0.0,0.048,0,1,0,0
76,0.9191919191919191,0.8461538461538463,0.9583333333333333,0.25,0.0,0.08,1,0,0,0
77,0.6868686868686869,0.8461538461538463,0.9226190476190476,0.08333333333333333,0.0,0.012,0,0,1,0
78,0.4949494949494948,0.8461538461538463,0.9613095238095237,0.08333333333333333,0.0,0.08,0,1,0,0
79,0.15151515151515138,0.5384615384615388,0.9613095238095237,0.0,0.0,0.012,1,0,0,0
80,0.5959595959595956,0.384615384615385,0.9583333333333333,0.16666666666666666,0.0,0.024,0,0,1,0
81,0.7575757575757573,0.30769230769230793,0.9136904761904762,0.08333333333333333,0.0,0.1,0,1,0,0
82,0.7575757575757573,0.30769230769230793,0.9136904761904762,0.08333333333333333,0.0,0.1,0,0,1,0
83,0.4141414141414139,0.1282051282051282,0.9107142857142857,0.16666666666666666,0.0,0.0,0,0,0,1
84,0.4141414141414139,0.1282051282051282,0.9107142857142857,0.16666666666666666,0.0,0.0,0,1,0,0
85,0.949494949494949,0.2820512820512824,0.9107142857142857,0.0,0.0,0.0,0,0,1,0
